network,product_id,product,stores,min_price,avg_price,max_price,spread_pct
CARREFOUR,1010522,Amidon Din Cartofi 75g Dr Oetk,47,2.35,2.66,2.99,27.2
CARREFOUR,1010545,Hellmanns Original Sos Maioneza 625ml,44,27.89,30.81,35.49,27.2
PROFI,1014679,Baneasa Malai 1kg,135,3.69,4.17,4.69,27.1
CARREFOUR,1022679,Dr.Oetker Bourbon Zahar Vanilat 8g,55,2.59,2.9,3.29,27.0
AUCHAN,1068622,Gin Wild Berry 37.5% 0.7l,17,55.95,60.52,70.9,26.7
PROFI,999665,Carnati Grosi Afumati La Gratar /Kg,14,28.49,34.94,35.9,26.0
AUCHAN,1079355,Red Vodka 0.7l 40% Smirnoff,8,49.95,52.66,62.9,25.9
PROFI,1021242,Bomb Cioco&Lapte 68g Maltesers,139,6.99,7.09,8.79,25.8
PROFI,1010620,"Cafea Instant Tchibo Exclusive Decofeinizata, 100 G",3,15.99,17.86,20.09,25.6
CARREFOUR,1018736,"Coniac Metaxa 12* Alc. 40%, 0.700l",54,2.79,3.05,3.49,25.1
AUCHAN,1071412,Bacardi Carta Blanca 0.7l,15,50.32,60.38,62.9,25.0
PROFI,1023646,Bomboane Kinder Schokobons 125g,119,11.99,14.07,14.99,25.0
AUCHAN,1084909,Aperol 0.7+Cinzano Spritz 0.75,17,89.95,93.84,112.0,24.5
CARREFOUR,1011288,Salrom Sare Iodata Recristalizata 1kg,55,4.49,5.06,5.59,24.5
PROFI,1010570,Bisc.Fara Zahar170g Fibra Gull,141,11.99,14.03,14.89,24.2
PROFI,999771,Carnati Subtiri Afumati La Gratar /Kg,13,36.99,44.6,45.9,24.1
CARREFOUR,1010776,Bomb Halls Miere&Lamaie 33.5g,55,4.99,5.31,6.19,24.0
KAUFLAND,1013742,Kfc Sos Cu Usturoi,25,16.49,18.05,20.39,23.7
CARREFOUR,1010570,Bisc.Fara Zahar170g Fibra Gull,55,12.99,14.13,15.99,23.1
CARREFOUR,1011111,Ceai Fares De Musetel 20 G / 20 De Plicuri,55,3.89,4.1,4.79,23.1
CARREFOUR,1016588,Tassimo Cappuccino Capsule 260g,55,38.99,41.06,47.99,23.1
AUCHAN,1053665,Pachet Cadou Whiskey Jameson Triple Distilled 0.7 L + 2 Pahare,17,75.7,79.76,92.95,22.8
CARREFOUR,1010430,Cafea Mac Classique R&G250glor,40,41.99,44.84,51.49,22.6
AUCHAN,1069793,Tigari Filtre Smoking Slim Long 120 Buc,14,4.0,4.19,4.9,22.5
PROFI,1016154,Maggi Secretul Gustului Legume75g,139,3.59,3.88,4.39,22.3
CARREFOUR,1016507,Tassimo Morning Cafe 124.8g,55,38.49,39.67,46.99,22.1
