product_id,name,category,store_count,record_count,blended_rank
1039090,Tigari Pall Mall Extra Cut (White),BAUTURI ALCOOLICE,17,103,107.5
1039161,Dry Gin 1l 40%  Wembley,BAUTURI ALCOOLICE,17,103,107.5
1039912,Jack Daniel'S Honey 0.7l 35%,BAUTURI ALCOOLICE,17,103,107.5
1040352,Tigari Marlboro Micro Fine Touch,BAUTURI ALCOOLICE,17,103,107.5
1041451,"Lichior De Fructe Jagd Trost Herbal, 0.7 L",BAUTURI ALCOOLICE,17,103,107.5
1041463,Skyy Vodka 40%Alc 0.7l,BAUTURI ALCOOLICE,17,103,107.5
1042879,Tigari Winchester 100s Rosu Necartonate,BAUTURI ALCOOLICE,17,103,107.5
1043106,Dry Gin 0.7l 37.5% Gilman'S,BAUTURI ALCOOLICE,17,103,107.5
1043458,Martini Rosso Vermut 15% 0.75l,BAUTURI ALCOOLICE,17,103,107.5
1044054,Bautura Spirtoasa Saniuta 0.5l,BAUTURI ALCOOLICE,17,103,107.5
1044628,Tigari Marlboro Gold Original,BAUTURI ALCOOLICE,17,103,107.5
1044655,Johnnie Walker Red+2 Pah,BAUTURI ALCOOLICE,17,103,107.5
1044774,Tigari Kent 100s,BAUTURI ALCOOLICE,17,103,107.5
1044780,Tutun Golden Virginia Original Gold 30g,BAUTURI ALCOOLICE,17,103,107.5
1046313,Jack Daniel'S 1l   40%,BAUTURI ALCOOLICE,17,103,107.5
