product_id,product,min_net_price,max_net_price,networks,spread,ratio
1010376,Spornic Bun La Toate Ulei 1l,7.39,8.86917917917918,7,1.48,1.2
1010392,Riso Scotti Orez Basmati 500g,10.263333333333334,12.29989571263036,6,2.04,1.198
1013565,Ketchup Picant 500g Tomi,8.79,10.516289682539682,7,1.73,1.196
1014022,Brasero Cafea Instant,19.99,23.80979695431472,6,3.82,1.191
1014679,Baneasa Malai 1kg,3.75,4.45,7,0.7,1.187
1011288,Salrom Sare Iodata Recristalizata 1kg,4.39,5.192731804586241,5,0.8,1.183
1023646,Bomboane Kinder Schokobons 125g,13.09,15.413636363636364,7,2.32,1.178
1077962,Pachet 5*0.05l Jack Daniel'S,60.9,71.75028037383177,2,10.85,1.178
1014076,La Minut Mustar Dulce 290g,5.29,6.1855312810327705,7,0.9,1.169
1010551,Olympia Sos Sweet Chilli 250ml,12.976261980830671,15.09,5,2.11,1.163
1010554,Cub Aliment Gust Gaina 60g Mag,3.488630136986301,4.028145363408521,6,0.54,1.155
1018736,"Coniac Metaxa 12* Alc. 40%, 0.700l",2.79,3.1819410319410317,6,0.39,1.14
1010771,Maille Dijon Mustar Fin 215 G,11.99,13.622267206477733,5,1.63,1.136
1011149,"Bautura Espresso Machiatto Muller, 0.25l",7.9247826086956525,8.99,6,1.07,1.134
1013894,Nestle P'Tit Biscuiti 180g,15.929823008849556,17.75,4,1.82,1.114
1010288,"Chipsuri Lay'S Cu Gust De Cascaval, 60 G",5.306666666666667,5.904112903225807,5,0.6,1.113
1011062,Barilla Paste Fusilli Nr98 500g,5.51948717948718,6.114555433589461,6,0.6,1.108
1011348,Cus Cus 500g Panzani,8.283442622950819,9.150875273522976,6,0.87,1.105
1016588,Tassimo Cappuccino Capsule 260g,37.29,41.106751269035534,7,3.82,1.102
1010903,Bio All Green Bio Sirop De Artar 250g,27.79,30.55,5,2.76,1.099
1010457,Fursecuri Fara Zahar Gullon Cu Ciocolata 125 G,16.69,18.11758754863813,2,1.43,1.086
1016507,Tassimo Morning Cafe 124.8g,37.29,40.24830188679245,6,2.96,1.079
1010681,"Pasta De Tomate Sultan, Concentratie 24%, 400 G",15.19,16.30625,4,1.12,1.073
